question,ans,website
Question 1. Who Invented The Game Of Basket Ball?,"Answer :
Dr. James Naismith in 1891.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 2. Where Did The Game Of Basketball Originate?,"Answer :
It originated in America.
Football Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 3. In Which Year Was The International Amateur Basketball Federation (fiba) Founded?,"Answer :
1932
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13;",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 4. When Was The First Game Under The Modified Rules Played?,"Answer :
20 January 1892.
Football Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 5. When Was The World Championships Instituted?,"Answer :
For men in 1950 and for women in 1953.
Cricket Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 6. Who Is Considered To Be The Tallest Basketball Player Of All Time?,"Answer :
The tallest player of all time is reputed to be Suleiman Ali Nashnush who played for the Libyan team in 1962 {height - 2.45m (8ft)}.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13;",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 7. When A Basketball For Women Included In The Asian Games And Who Won The Inaugural Title?,"Answer :
In 1974 at Tehran. Japan won the title.
Cricket Tutorial Volleyball Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 8. What Is Diameter Of The Basket In The Game Of Basketball?,"Answer :
45.7 cm
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13;",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 9. Which Are The Two Games Considered To Be The Precursors Of The Basketball?,"Answer :
Pok - ta - Pok and Ollamalitzli of Mexico.
Polo Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 10. What Is The Circumference And The Weight Of The Ball?,"Answer :
30 inches, 20 -22 oz.
Volleyball Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 11. Which Is The Most Famous Professional Basketball Team In Usa?,"Answer :
Harlem Globetrotters.
Tennis Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 12. Who Is The Tallest International Basketball Player Ball Team In Usa?,"Answer :
Juliana Semenova (Russia) 7 feet 2 inches.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Football Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 13. In Which Country Basketball Is The National Game?,"Answer :
U.S.A
Polo Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 14. When Was Women’s Basketball Included In The Olympics?,"Answer :
1976
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13;",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 15. When Was The Men’s World Championship First Held And Who Won?,"Answer :
1950, Argentina.
Water Polo Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 16. When Was The Basketball Federation Of India Established?,"Answer :
In 1950.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Carrom Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 17. When Was The Women’s World Championship First Held And Who Won?,"Answer :
In 1953, U.S.A
Table Tennis Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 18. What Are The Measurements Of The Court?,"Answer :
94 * 50 ft
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Cricket Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 19. How Many Players Does A Basket Ball Team Consist Of And How Many Can Play At A Time?,"Answer :
5 players; in a team, 10 players; of both team.
Tennis Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 20. When Was The Junior National Championship Started?,"Answer :
1965.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Golf Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 21. Who Are The All Time Greats In Basket Ball?,"Answer :
Michael Jordan and Magic Johnson.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 22. Who Has Played The Most Games In His Lifetime?,"Answer :
Karim Abdul Jabbar (U.S.A), 1486 times.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Water Polo Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 23. Where And When Were The Nationals First Held?,"Answer :
Delhi, 1934
Archery Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 24. Which Country Won Olympics Gold In 1972 And 1988?,"Answer :
Russia
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Volleyball Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 25. What Is The Radius Of The Centre Circle?,"Answer :
1.80 meter.
Table Tennis Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 26. The Official Score Sheet Has To Be Approved By Whom?,"Answer :
Amateur Basketball Federation.
&#13; (adsbygoogle = window.adsbygoogle || []).push({});&#13; Handball Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 27. When Was Women’s Basket Ball Included In The Asian Games? Who Won?,"Answer :
1974, Japan.
Polo Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 28. Which Country Won Olympics Gold (women’s) In 1984 And 1988?,"Answer :
U.S.A
Basketball Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 29. What Is The Weight Of A Basketball?,"Answer :
600 gram.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 30. How Many Substitutes Are Allowed?,"Answer :
Seven.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 31. Which Country Has Had The Longest Winning Streak In The Basketball Event In The Olympic Games?,"Answer :
The United States of America, they had won gold from 1936 to 1972.
Golf Tutorial",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 32. Which Country Won The 1980 Summer Olympics Basketball Men’s Title?,"Answer :
Yugoslavia.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 33. Which Country Won The Women’s Title?,"Answer :
Russia.
Tennis Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 34. What Country Won The 2000 Olympics?,"Answer :
U.S.A.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 35. Which Country Won The Men’s Title In 2004 Olympics?,"Answer :
Argentina.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 36. Which Country Won The Women’s Basketball Gold In 2004 Olympics?,"Answer :
USA
Water Polo Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 37. Which Country Bagged The Men’s Title In 2008 Olympics?,"Answer :
USA",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 38. Which Country Won The Women’s Gold?,"Answer :
U.S.A.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
